Distance,Source System,L-Pad,M-pad,P-pad,Fed,Imp,All,Ind,Target/Sources,RES/rings,URL
89.47,Matikuoluk,"7,025","7,677","6,820",2,2,,3,Tobala / 2,3 rings,https://edtools.cc/pve?s=Tobala&a=rt
89.62,LTT 9397,,878,918,3,1,,3,Addo / 3,No rings,https://edtools.cc/pve?s=Addo&a=rt
89.76,Tirada,,"380,234",,,,3,4,Wadjuk / 2,1 ring,https://edtools.cc/pve?s=Wadjuk&a=rt
89.92,LTT 9145,,"42,273","42,144",3,,,4,Addo / 3,No rings,https://edtools.cc/pve?s=Addo&a=rt
90.51,Tambe,,191,,3,,1,3,LTT 12925 / 2,4 rings,https://edtools.cc/pve?s=LTT+12925&a=rt
91.06,Aravaci,,251,"1,043",4,,,3,Ducat / 2,3 rings,https://edtools.cc/pve?s=Ducat&a=rt
92.42,Robor,325,,325,1,,,5,Chehoonggu / 2,No rings,https://edtools.cc/pve?s=Chehoonggu&a=rt
92.48,Exigus,460,,"2,746",2,,,5,Skang / 2,No rings,https://edtools.cc/pve?s=Skang&a=rt
93.37,LHS 1380,77,104,"4,830",,3,,4,Chimechilo / 2,No rings,https://edtools.cc/pve?s=Chimechilo&a=rt
94.21,Laklang,,943,,4,1,,2,Tobala / 2,3 rings,https://edtools.cc/pve?s=Tobala&a=rt
94.30,LP 214-26,,654,518,,,5,2,Pared / 2,1 ring,https://edtools.cc/pve?s=Pared&a=rt
94.34,37 Librae,"1,743",,940,3,,,4,Na Chem / 3,No rings,https://edtools.cc/pve?s=Na+Chem&a=rt
94.38,LP 349-61,23,39,23,2,,,5,Skappa / 2,1 ring,https://edtools.cc/pve?s=Skappa&a=rt
94.58,Waruts,12,18,12,3,,,4,Ducat / 2,3 rings,https://edtools.cc/pve?s=Ducat&a=rt
94.86,Praecipua,"2,985",753,737,,,1,6,LTT 12925 / 2,4 rings,https://edtools.cc/pve?s=LTT+12925&a=rt
94.88,LTT 16764,252,"1,806","1,799",3,,,4,Bagalis / 2,1 ring,https://edtools.cc/pve?s=Bagalis&a=rt
95.54,LP 350-75,704,"1,767",704,1,,,6,Skappa / 2,1 ring,https://edtools.cc/pve?s=Skappa&a=rt
95.59,CD-24 10236,,"4,073","3,974",3,,,4,Chehoonggu / 2,No rings,https://edtools.cc/pve?s=Chehoonggu&a=rt
95.97,Pi Piscis Austrini,"95,162","95,274","95,275",,3,,4,Addo / 3,No rings,https://edtools.cc/pve?s=Addo&a=rt
96.75,HR 692,838,"2,033","1,477",3,1,,3,Cariangan / 2,No rings,https://edtools.cc/pve?s=Cariangan&a=rt
97.00,LTT 15068,,277,277,1,,,6,Amahu / 2,No rings,https://edtools.cc/pve?s=Amahu&a=rt
97.04,Apaticultu,"1,549",,,2,,,5,Kared / 2,1 ring,https://edtools.cc/pve?s=Kared&a=rt
97.57,Skeller,803,782,"1,119",1,2,,3,Cariangan / 2,No rings,https://edtools.cc/pve?s=Cariangan&a=rt
97.63,BD-00 3426,108,"4,619",108,4,,,3,Yavapai / 2,No rings,https://edtools.cc/pve?s=Yavapai&a=rt
98.15,CK Arietis,"3,041","5,299","5,297",2,,,5,Marson / 2,No rings,https://edtools.cc/pve?s=Marson&a=rt
98.67,LP 101-377,,23,49,2,,1,4,BD+57 1692 / 2,2 rings,https://edtools.cc/pve?s=BD%2B57+1692&a=rt
98.74,Bumbur,,8,15,3,,,4,Ross 310 / 2,2 rings,https://edtools.cc/pve?s=Ross+310&a=rt
98.80,Copian Xing,"10,058",,,3,,,4,Lucharn / 2,No rings,https://edtools.cc/pve?s=Lucharn&a=rt
99.25,Sveit,"2,746","434,973","435,981",3,,,4,San Yax / 2,3 rings,https://edtools.cc/pve?s=San+Yax&a=rt
99.45,25 Nu-2 Draconis,"1,894",,997,2,,1,4,LP 101-377 / 2,6 rings,https://edtools.cc/pve?s=LP+101-377&a=rt
100.24,Tripitaka,"2,791",,"1,526",5,,,2,San Yax / 2,3 rings,https://edtools.cc/pve?s=San+Yax&a=rt
100.25,G 240-11,"227,446","1,805","1,199",1,,2,4,BD+57 1692 / 2,2 rings,https://edtools.cc/pve?s=BD%2B57+1692&a=rt
100.35,Ba Jonandja,229,"14,570",674,5,,,2,Sairre / 2,No rings,https://edtools.cc/pve?s=Sairre&a=rt
100.54,Agasa,,"1,067","46,518",3,,1,3,Bharini / 2,1 ring,https://edtools.cc/pve?s=Bharini&a=rt
100.59,Detta,168,"1,642","1,649",4,,,3,Yavapai / 2,No rings,https://edtools.cc/pve?s=Yavapai&a=rt
100.66,Mahari,317,,814,2,,,5,Nocorioson / 2,No rings,https://edtools.cc/pve?s=Nocorioson&a=rt
100.77,Tastis,,812,807,3,,,3,Skang / 2,No rings,https://edtools.cc/pve?s=Skang&a=rt
100.78,Tago,254,188,254,2,,,5,Na Chem / 3,No rings,https://edtools.cc/pve?s=Na+Chem&a=rt
101.12,Messa,,"1,238","1,203",4,,,3,Bifrost / 2,3 rings,https://edtools.cc/pve?s=Bifrost&a=rt
101.30,BD+57 1692,,"2,089","1,519",1,,1,2,LP 101-377 / 2,6 rings,https://edtools.cc/pve?s=LP+101-377&a=rt
101.86,Sugana,"20,579",,,1,,,6,NLTT 5369 / 2,3 rings,https://edtools.cc/pve?s=NLTT+5369&a=rt
102.32,HERZ 589,,"2,182",,1,,,3,Marana / 2,1 ring,https://edtools.cc/pve?s=Marana&a=rt
102.64,Sussche,,6,657,4,,,4,Guitaiku / 2,No rings,https://edtools.cc/pve?s=Guitaiku&a=rt
102.80,Ogunnr,"2,731",,,2,,,5,Kared / 2,1 ring,https://edtools.cc/pve?s=Kared&a=rt
103.34,n Puppis,"1,680",,"3,946",2,,,5,Tonesh / 2,2 rings,https://edtools.cc/pve?s=Tonesh&a=rt
103.50,Furuhjelm I-645,924,,978,1,,1,5,Pared / 2,1 ring,https://edtools.cc/pve?s=Pared&a=rt
103.70,Kokowar,363,363,363,,3,,4,LHS 1097 / 2,"haz,high,reg,low",https://edtools.cc/pve?s=LHS+1097&a=rt
104.21,Tachmetae,11,14,11,1,,,6,Na Chem / 3,No rings,https://edtools.cc/pve?s=Na+Chem&a=rt
104.97,NLTT 5871,,610,351,,5,,2,CD-41 568 / 2,3 rings,https://edtools.cc/pve?s=CD-41+568&a=rt
105.30,LTT 13904,78,,141,,,4,3,BD+37 2416 / 2,No rings,https://edtools.cc/pve?s=BD%2B37+2416&a=rt
105.62,Bhaidenwi,,313,313,3,,,4,Minun / 2,No rings,https://edtools.cc/pve?s=Minun&a=rt
106.07,BD+29 1754,,"1,310",722,2,,2,2,Bharini / 2,1 ring,https://edtools.cc/pve?s=Bharini&a=rt
106.18,Nyanga,,"9,165",547,3,1,,3,Tonesh / 2,2 rings,https://edtools.cc/pve?s=Tonesh&a=rt
106.34,SAO 82442,,695,465,,,4,3,FAUST 3566 / 2,1 ring,https://edtools.cc/pve?s=FAUST+3566&a=rt
107.16,LTT 2042,,"1,257",26,4,,,3,Marana / 2,1 ring,https://edtools.cc/pve?s=Marana&a=rt
107.30,Elusughna,"2,265","3,177",,1,,,5,Shonpono / 2,No rings,https://edtools.cc/pve?s=Shonpono&a=rt
107.34,Tir Na Nog,,"2,183","2,204",,4,,3,Mundjiga / 2,No rings,https://edtools.cc/pve?s=Mundjiga&a=rt
107.71,Njulngan,15,23,15,5,,,2,Qi Yomisii / 2,"haz,high,reg,low",https://edtools.cc/pve?s=Qi+Yomisii&a=rt
107.71,Phiagre,27,,26,,3,,4,Findja / 2,No rings,https://edtools.cc/pve?s=Findja&a=rt
107.89,Pemeowa,,"1,108",618,1,4,,2,LHS 1097 / 2,"haz,high,reg,low",https://edtools.cc/pve?s=LHS+1097&a=rt
107.90,Gurumukas,,12,,2,,1,4,Bifrost / 2,3 rings,https://edtools.cc/pve?s=Bifrost&a=rt
108.13,Deorinik,,"1,402","1,276",2,,,5,Mechtan / 2,2 rings,https://edtools.cc/pve?s=Mechtan&a=rt
108.91,Kitara,,665,"1,181",,,1,4,Heidruna / 2,3 rings,https://edtools.cc/pve?s=Heidruna&a=rt
108.98,CD-61 6801,"1,036",,404,,4,,3,Findja / 2,No rings,https://edtools.cc/pve?s=Findja&a=rt
109.27,Mandins,,"8,200","8,393",4,,,3,Laukates / 2,No rings,https://edtools.cc/pve?s=Laukates&a=rt
109.64,Di Jian,797,,,,,4,3,BD+37 2416 / 2,No rings,https://edtools.cc/pve?s=BD%2B37+2416&a=rt
109.66,Tangpho,,124,"9,906",2,,,5,Lucharn / 2,No rings,https://edtools.cc/pve?s=Lucharn&a=rt
109.87,Sceptrum,447,"1,388",447,2,2,,3,LTT 2042 / 2,3 rings,https://edtools.cc/pve?s=LTT+2042&a=rt
110.27,LTT 2099,253,,253,3,1,,3,LTT 2042 / 2,3 rings,https://edtools.cc/pve?s=LTT+2042&a=rt
110.27,Nervi,"2,272",,"2,254",3,,,4,LTT 16422 / 2,"haz,high,reg,low",https://edtools.cc/pve?s=LTT+16422&a=rt
110.78,Hou Hsien,632,,317,,,4,3,GCRV 7300 / 2,4 rings,https://edtools.cc/pve?s=GCRV+7300&a=rt
111.14,Hakkaia,74,,43,1,1,,5,Yu Tun / 2,3 rings,https://edtools.cc/pve?s=Yu+Tun&a=rt
111.30,Chorote,,135,135,1,1,,4,Yu Tun / 2,3 rings,https://edtools.cc/pve?s=Yu+Tun&a=rt
111.58,AGKR 1017,,"203,661","2,759",3,,,4,Nu Wana / 2,No rings,https://edtools.cc/pve?s=Nu+Wana&a=rt
111.98,Lan Tzak,"1,422","1,399",973,1,,,6,Taoshas / 2,No rings,https://edtools.cc/pve?s=Taoshas&a=rt
112.18,Wolf 186,753,"1,057",753,2,,,5,Guitaiku / 2,No rings,https://edtools.cc/pve?s=Guitaiku&a=rt
112.31,Shernaq,,251,"1,581",3,,,4,Taoshas / 2,No rings,https://edtools.cc/pve?s=Taoshas&a=rt
112.75,27 Kappa Persei,386,501,386,2,,,5,Wolf 186 / 2,No rings,https://edtools.cc/pve?s=Wolf+186&a=rt
113.08,BD+23 204,,"2,130","2,112",3,,,4,NLTT 5369 / 2,3 rings,https://edtools.cc/pve?s=NLTT+5369&a=rt
113.30,Pardian,,105,105,3,,,4,Qi Yomisii / 2,"haz,high,reg,low",https://edtools.cc/pve?s=Qi+Yomisii&a=rt
113.79,Lokipi,466,663,460,3,,,4,Farowalan / 2,1 ring,https://edtools.cc/pve?s=Farowalan&a=rt
113.81,LHS 1071,793,"3,124","1,597",,5,,2,Mundjiga / 2,No rings,https://edtools.cc/pve?s=Mundjiga&a=rt
114.20,Wolf 631,"1,633","4,296","1,628",2,,,5,HIP 82042 / 2,5 rings,https://edtools.cc/pve?s=HIP+82042&a=rt
114.21,Ruhanti,"410,423","410,478","410,322",,,4,3,Machi / 3,2 rings,https://edtools.cc/pve?s=Machi&a=rt
114.43,Mimis,,380,380,3,,,4,Nocorioson / 2,No rings,https://edtools.cc/pve?s=Nocorioson&a=rt
114.69,Themiscrya,616,,,,3,,4,CD-41 568 / 2,3 rings,https://edtools.cc/pve?s=CD-41+568&a=rt
115.45,BD+24 2539,"3,884","2,195","2,149",,,4,3,FAUST 3566 / 2,1 ring,https://edtools.cc/pve?s=FAUST+3566&a=rt
115.47,We Guan,,"15,502","1,085",2,,,5,Wu Kwannya / 2,No rings,https://edtools.cc/pve?s=Wu+Kwannya&a=rt
115.49,Graudika,219,308,767,,4,,3,Tjakulcade / 2,No rings,https://edtools.cc/pve?s=Tjakulcade&a=rt
115.79,LTT 15693,,83,870,,,,7,Gabrani / 2,1 ring,https://edtools.cc/pve?s=Gabrani&a=rt
116.98,Vagho,14,48,14,3,,,4,Mistana / 2,1 ring,https://edtools.cc/pve?s=Mistana&a=rt
117.19,80 e Piscium,988,"1,928",991,2,,,5,Nokomishi / 2,1 ring,https://edtools.cc/pve?s=Nokomishi&a=rt
117.41,Chediq,,891,652,3,1,,3,HIP 51568 / 2,4 rings,https://edtools.cc/pve?s=HIP+51568&a=rt
117.53,Ross 809,196,,,3,,1,3,HIP 82042 / 2,5 rings,https://edtools.cc/pve?s=HIP+82042&a=rt
117.65,Igbirikan,450,568,450,3,,,4,Pardal / 2,5 rings,https://edtools.cc/pve?s=Pardal&a=rt
117.74,Raltekh,,319,319,,,5,3,Machi / 3,2 rings,https://edtools.cc/pve?s=Machi&a=rt
117.76,Nauacan,"2,716",,,2,,,5,Pilati / 2,No rings,https://edtools.cc/pve?s=Pilati&a=rt
117.86,Ayoro Nage,142,269,142,2,,,5,HIP 4747 / 2,2 rings,https://edtools.cc/pve?s=HIP+4747&a=rt
118.34,SPOCS 507,,"2,801","2,797",,,2,2,Heidruna / 2,3 rings,https://edtools.cc/pve?s=Heidruna&a=rt
118.51,36 Persei,484,"3,247",837,3,,,4,Wolf 186 / 2,No rings,https://edtools.cc/pve?s=Wolf+186&a=rt
118.90,Irula,397,,"1,633",3,,,5,Borann / 2,6 rings,https://edtools.cc/pve?s=Borann&a=rt
118.98,Guite,,483,482,2,,,5,Nu Wana / 2,No rings,https://edtools.cc/pve?s=Nu+Wana&a=rt
119.06,Pataheimr,101,183,"3,821",2,,,5,Mechtan / 2,2 rings,https://edtools.cc/pve?s=Mechtan&a=rt
119.12,Gkuthangli,,"1,226",723,4,1,,2,HIP 51568 / 2,4 rings,https://edtools.cc/pve?s=HIP+51568&a=rt
119.56,Kipgeninka,,"11,625","10,827",,3,,4,Tjakulcade / 2,No rings,https://edtools.cc/pve?s=Tjakulcade&a=rt
119.61,Irulis,,21,65,3,,,4,Mistana / 2,1 ring,https://edtools.cc/pve?s=Mistana&a=rt
119.69,L 12-40,,371,573,,2,,4,Celtibia / 2,No rings,https://edtools.cc/pve?s=Celtibia&a=rt
120.07,Dhakhan,,"13,465","14,511",1,,,6,Kunab / 2,No rings,https://edtools.cc/pve?s=Kunab&a=rt
120.07,Mach,,219,276,4,,,4,Minun / 2,No rings,https://edtools.cc/pve?s=Minun&a=rt
120.57,HIP 92742,"4,368",,,,4,,3,Ingaman / 2,1 ring,https://edtools.cc/pve?s=Ingaman&a=rt
120.60,HIP 45822,,"7,284",,2,,2,3,38 Lyncis / 3,high,https://edtools.cc/pve?s=38+Lyncis&a=rt
120.65,Bamu,14,"1,534","2,785",2,,,5,Pardal / 2,5 rings,https://edtools.cc/pve?s=Pardal&a=rt
120.72,Fuamne,,509,"2,866",1,,5,1,Machi / 3,2 rings,https://edtools.cc/pve?s=Machi&a=rt
120.97,Ross 376,,"1,072",356,3,,,4,Wolf 1241 / 2,5 rings,https://edtools.cc/pve?s=Wolf+1241&a=rt
121.01,Gliese 4328,,"2,004",,1,,,5,Shonpono / 2,No rings,https://edtools.cc/pve?s=Shonpono&a=rt
121.16,HIP 41955,,22,38,,,1,6,Diakas / 2,No rings,https://edtools.cc/pve?s=Diakas&a=rt
121.19,HIP 44115,,20,20,4,,,3,38 Lyncis / 3,high,https://edtools.cc/pve?s=38+Lyncis&a=rt
121.63,Djaujang,,303,303,1,,,6,Farowalan / 2,1 ring,https://edtools.cc/pve?s=Farowalan&a=rt
121.64,Jivaraikpoi,,293,98,4,,,3,LTT 16422 / 2,"haz,high,reg,low",https://edtools.cc/pve?s=LTT+16422&a=rt
121.87,Atiusia,9,16,9,1,,2,4,GCRV 7300 / 2,4 rings,https://edtools.cc/pve?s=GCRV+7300&a=rt
122.29,Epsilon Monocerotis,,710,976,2,,,5,Chuuahill / 2,4 rings,https://edtools.cc/pve?s=Chuuahill&a=rt
122.46,Koljankirna,996,819,792,2,,1,4,Kandiil / 2,4 rings,https://edtools.cc/pve?s=Kandiil&a=rt
122.71,HIP 40977,,"1,612",,4,,,3,Aracame / 2,1 ring,https://edtools.cc/pve?s=Aracame&a=rt
122.89,Watiwati,828,,72,1,,,6,HIP 32806 / 2,3 rings,https://edtools.cc/pve?s=HIP+32806&a=rt
122.96,Semakhmets,81,112,112,2,,,5,Kunab / 2,No rings,https://edtools.cc/pve?s=Kunab&a=rt
122.99,Zhang Yun,,34,46,1,2,,4,Jadliaura / 2,CNB,https://edtools.cc/pve?s=Jadliaura&a=rt
123.16,Yavas,85,160,85,2,,,4,HR 4776 / 2,8 rings,https://edtools.cc/pve?s=HR+4776&a=rt
123.80,Wilastsi,,342,"14,124",4,,,3,Bidio / 2,No rings,https://edtools.cc/pve?s=Bidio&a=rt
124.08,Bruth,,327,491,4,1,,2,HIP 35096 / 3,5 rings,https://edtools.cc/pve?s=HIP+35096&a=rt
124.11,Asoori,"9,909",,308,2,,2,3,HIP 53169 / 2,No rings,https://edtools.cc/pve?s=HIP+53169&a=rt
124.14,Niu Lang O,308,391,"1,509",,4,,3,HIP 17298 / 2,3 rings,https://edtools.cc/pve?s=HIP+17298&a=rt
124.59,Yemairwar,,794,,3,,,4,Selkana / 2,4 rings,https://edtools.cc/pve?s=Selkana&a=rt
124.64,Itzanii,"1,291","1,940","1,284",2,,,5,Laukates / 2,No rings,https://edtools.cc/pve?s=Laukates&a=rt
124.65,HIP 88617,357,,,1,,,6,Wulgaedia / 2,No rings,https://edtools.cc/pve?s=Wulgaedia&a=rt
124.79,Col 285 Sector XT-G a40-0,,,30,2,,,4,114 G. Aquilae / 3,3 rings,https://edtools.cc/pve?s=114+G.+Aquilae&a=rt
125.00,Aracame,,"2,062","2,043",2,,1,3,HIP 39546 / 3,2 rings,https://edtools.cc/pve?s=HIP+39546&a=rt
125.12,Brid,,"2,574","2,289",2,,,5,Friggirawi / 2,No rings,https://edtools.cc/pve?s=Friggirawi&a=rt
125.18,Gliese 9378 B,"1,270","1,717","1,225",2,,,4,Gliese 452.3 / 2,2 rings,https://edtools.cc/pve?s=Gliese+452.3&a=rt
125.18,HIP 15286,,"4,215","4,215",,4,,3,Pilati / 2,No rings,https://edtools.cc/pve?s=Pilati&a=rt
125.23,Liu Pei,,14,14,2,,,5,Wu Kwannya / 2,No rings,https://edtools.cc/pve?s=Wu+Kwannya&a=rt
125.58,Mu Nora,,458,,4,,1,2,Friggirawi / 2,No rings,https://edtools.cc/pve?s=Friggirawi&a=rt
125.65,Orishanh,,141,"1,036",1,,,6,HR 8276 / 2,5 rings,https://edtools.cc/pve?s=HR+8276&a=rt
125.79,Devasupai,,5,14,1,1,,5,Ingaman / 2,1 ring,https://edtools.cc/pve?s=Ingaman&a=rt
126.08,HIP 47110,"2,688",,"3,194",1,,1,5,38 Lyncis / 3,high,https://edtools.cc/pve?s=38+Lyncis&a=rt
126.21,Ari Hesa,585,829,829,1,,1,5,Gabrani / 2,1 ring,https://edtools.cc/pve?s=Gabrani&a=rt
126.24,Severni,,"10,317","9,673",2,,,5,Nokomishi / 2,1 ring,https://edtools.cc/pve?s=Nokomishi&a=rt
126.44,Arnaqu,,"1,536",54,4,,,3,114 G. Aquilae / 3,3 rings,https://edtools.cc/pve?s=114+G.+Aquilae&a=rt
126.53,Walangama,,542,,1,,,6,HIP 85129 / 2,6 rings,https://edtools.cc/pve?s=HIP+85129&a=rt
126.59,HIP 5031,,976,"1,005",1,2,,4,HIP 4747 / 2,2 rings,https://edtools.cc/pve?s=HIP+4747&a=rt
126.77,Kitjali,,265,265,,4,,3,HR 8793 / 2,No rings,https://edtools.cc/pve?s=HR+8793&a=rt
126.80,Guanggi,"143,140","143,016","142,037",1,,2,3,Betse Aibes / 2,No rings,https://edtools.cc/pve?s=Betse+Aibes&a=rt
126.96,Tsongoris,24,16,24,2,,,5,Bidio / 2,No rings,https://edtools.cc/pve?s=Bidio&a=rt
127.01,Muthi,,147,147,1,2,,4,Borann / 2,6 rings,https://edtools.cc/pve?s=Borann&a=rt
127.09,Long Mu,"18,918",916,917,2,,,5,Ross 842 / 2,7 rings,https://edtools.cc/pve?s=Ross+842&a=rt
127.14,Kaushi,44,80,43,3,,1,3,Aracame / 2,1 ring,https://edtools.cc/pve?s=Aracame&a=rt
127.32,Diaguandri,526,,450,2,,,5,Balante / 2,No rings,https://edtools.cc/pve?s=Balante&a=rt
127.73,HIP 15062,,"1,163","1,152",3,,,4,Balante / 2,No rings,https://edtools.cc/pve?s=Balante&a=rt
127.87,Jath,68,"1,169","2,730",,,,6,Proxima / 2,No rings,https://edtools.cc/pve?s=Proxima&a=rt
127.93,Ebor,10,17,10,3,,,4,Wolf 1241 / 2,5 rings,https://edtools.cc/pve?s=Wolf+1241&a=rt
128.35,HR 2848,"14,731",,,,4,,3,Celtibia / 2,No rings,https://edtools.cc/pve?s=Celtibia&a=rt
128.54,HIP 70269,,783,"99,405",2,,,5,HIP 70973 / 2,9 rings,https://edtools.cc/pve?s=HIP+70973&a=rt
128.55,HR 8799,,"2,332","2,286",1,,,6,Alcha / 2,1 ring,https://edtools.cc/pve?s=Alcha&a=rt
128.59,Gudu,"10,579",,,2,,,5,Wulgaedia / 2,No rings,https://edtools.cc/pve?s=Wulgaedia&a=rt
128.91,Roxo,,115,"114,993",2,,2,3,HR 8423 / 2,No rings,https://edtools.cc/pve?s=HR+8423&a=rt
129.06,Lachazi,,333,"3,444",1,,,5,Keiadjara / 2,2 rings,https://edtools.cc/pve?s=Keiadjara&a=rt
